# ====== PROJECT SETUP METADATA ======
project_name,STS8300_LB_RevA
site_num,4
schema_version,1.0
default_package,0603
default_voltage,50V
default_tolerance,1%
ate_platform,STS8300_A28D4
component_overrides,"{'SOCKET_PATH': 'Sch_lib/sockets/JW_Contator.kicad_sym', 'SOCKET_NAME': 'FTD_PP_25C_DFN4X4X0.75-10', 'GLOBAL_LDO': ''}"
Hardware Config,c:\Users\11271\Desktop\Table2SCH\Sch_lib\platforms\sts8300_slot.xlsx

# ====== PIN MAPPING ======
Display Pin,Hidden F/S Mapping,Logical Net,Resource Types,Channel Allocations,Connect Type,Active Circuits,Passive Circuits (Parsed),Params
28F/S (PIN28_AISEN2),"{'F': '28F', 'S': '28S'}",PIN28_AISEN2,ACM200,Site1(ACM200[S6_CH3]) | Site2(ACM200[S12_CH3]) | Site3(ACM200[S22_CH3]) | Site4(ACM200[S28_CH3]),Direct,,[],{}
29F/S (PIN29_AISEN3),"{'F': '29F', 'S': '29S'}",PIN29_AISEN3,ACM200,Site1(ACM200[S6_CH4]) | Site2(ACM200[S12_CH4]) | Site3(ACM200[S22_CH4]) | Site4(ACM200[S28_CH4]),Direct,,[],{}
30F/S (PIN30_AISEN4),"{'F': '30F', 'S': '30S'}",PIN30_AISEN4,ACM200,Site1(ACM200[S6_CH5]) | Site2(ACM200[S12_CH5]) | Site3(ACM200[S22_CH5]) | Site4(ACM200[S28_CH5]),Direct,,[],{}
31F/S (PIN31_AISEN5),"{'F': '31F', 'S': '31S'}",PIN31_AISEN5,ACM200,Site1(ACM200[S6_CH6]) | Site2(ACM200[S12_CH6]) | Site3(ACM200[S22_CH6]) | Site4(ACM200[S28_CH6]),Direct,,[],{}
32F/S (PIN32_AISEN6),"{'F': '32F', 'S': '32S'}",PIN32_AISEN6,ACM200,Site1(ACM200[S6_CH7]) | Site2(ACM200[S12_CH7]) | Site3(ACM200[S22_CH7]) | Site4(ACM200[S28_CH7]),Direct,,[],{}
33F/S (PIN33_AISEN7_BISEN),"{'F': '33F', 'S': '33S'}",PIN33_AISEN7_BISEN,ACM200,Site1(ACM200[S6_CH8]) | Site2(ACM200[S12_CH8]) | Site3(ACM200[S22_CH8]) | Site4(ACM200[S28_CH8]),Direct,,[],{}
34F/S (PIN34_AISEN8_BISE),"{'F': '34F', 'S': '34S'}",PIN34_AISEN8_BISE,ACM200,Site1(ACM200[S6_CH9]) | Site2(ACM200[S12_CH9]) | Site3(ACM200[S22_CH9]) | Site4(ACM200[S28_CH9]),Direct,,[],{}
35F/S (PIN35_AISEN9_BISE),"{'F': '35F', 'S': '35S'}",PIN35_AISEN9_BISE,ACM200,Site1(ACM200[S6_CH10]) | Site2(ACM200[S12_CH10]) | Site3(ACM200[S22_CH10]) | Site4(ACM200[S28_CH10]),Direct,,[],{}
36F/S (PIN36_AISEN10_BI),"{'F': '36F', 'S': '36S'}",PIN36_AISEN10_BI,ACM200,Site1(ACM200[S6_CH11]) | Site2(ACM200[S12_CH11]) | Site3(ACM200[S22_CH11]) | Site4(ACM200[S28_CH11]),Direct,,[],{}
37F/S (PIN37_AISEN11_BI),"{'F': '37F', 'S': '37S'}",PIN37_AISEN11_BI,ACM200,Site1(ACM200[S6_CH12]) | Site2(ACM200[S12_CH12]) | Site3(ACM200[S22_CH12]) | Site4(ACM200[S28_CH12]),Direct,,[],{}
38F/S (PIN38_AISEN12_BI),"{'F': '38F', 'S': '38S'}",PIN38_AISEN12_BI,ACM200,Site1(ACM200[S6_CH13]) | Site2(ACM200[S12_CH13]) | Site3(ACM200[S22_CH13]) | Site4(ACM200[S28_CH13]),Direct,"ChargeRelease, BUF634A_SOP8, OPA145_INA141, OPA189, SN74LVC2G17DBVR, TPS78401DRVR_3.3V",[],"{""BUF634A_SOP8"": {""GROUP_ID"": ""BUF_1""}, ""OPA145_INA141"": {""ROLE_CB"": ""IN+ (正端)"", ""GROUP_ID"": ""AMP_1""}, ""OPA189"": {""GROUP_ID"": ""BUF_2""}, ""SN74LVC2G17DBVR"": {""GROUP_ID"": ""BUF_3""}, ""ACM200"": {""GROUP_ID"": ""ACM200_G1""}}"
39F/S (PIN39_BVREF),"{'F': '39F', 'S': '39S'}",PIN39_BVREF,ACM200,Site1(ACM200[S6_CH14]) | Site2(ACM200[S12_CH14]) | Site3(ACM200[S22_CH14]) | Site4(ACM200[S28_CH14]),Direct,,[],{}
40F/S (PIN40_BVSEN),"{'F': '40F', 'S': '40S'}",PIN40_BVSEN,ACM200,Site1(ACM200[S6_CH15]) | Site2(ACM200[S12_CH15]) | Site3(ACM200[S22_CH15]) | Site4(ACM200[S28_CH15]),Direct,,[],{}
41F/S (PIN41_CAT_FAULT),"{'F': '41F', 'S': '41S'}",PIN41_CAT_FAULT,ACM200,Site1(ACM200[S6_CH16]) | Site2(ACM200[S12_CH16]) | Site3(ACM200[S22_CH16]) | Site4(ACM200[S28_CH16]),Direct,,[],{}
42F/S (PIN42_ADDR),"{'F': '42F', 'S': '42S'}",PIN42_ADDR,ACM200,Site1(ACM200[S6_CH17]) | Site2(ACM200[S12_CH17]) | Site3(ACM200[S22_CH17]) | Site4(ACM200[S28_CH17]),Direct,,[],{}
43F/S (PIN43_ATSEN),"{'F': '43F', 'S': '43S'}",PIN43_ATSEN,ACM200,Site1(ACM200[S6_CH18]) | Site2(ACM200[S12_CH18]) | Site3(ACM200[S22_CH18]) | Site4(ACM200[S28_CH18]),Direct,,[],{}
44F/S (PIN44_ISYS_BTSEN),"{'F': '44F', 'S': '44S'}",PIN44_ISYS_BTSEN,ACM200,Site1(ACM200[S6_CH19]) | Site2(ACM200[S12_CH19]) | Site3(ACM200[S22_CH19]) | Site4(ACM200[S28_CH19]),Direct,,[],{}
45F/S (PIN45_VSYS),"{'F': '45F', 'S': '45S'}",PIN45_VSYS,FPVIe,Site1(FPVIe[S1_CH0]) | Site2(FPVIe[S15_CH0]) | Site3(FPVIe[S17_CH0]) | Site4(FPVIe[S31_CH0]),Kelvin,ChargeRelease,[],{}
46F/S (PIN46_VINSEN),"{'F': '46F', 'S': '46S'}",PIN46_VINSEN,ACM200,Site1(ACM200[S6_CH20]) | Site2(ACM200[S12_CH20]) | Site3(ACM200[S22_CH20]) | Site4(ACM200[S28_CH20]),Direct,,[],{}
47F/S (PIN47_VDD),"{'F': '47F', 'S': '47S'}",PIN47_VDD,FPVIe,Site1(FPVIe[S1_CH1]) | Site2(FPVIe[S15_CH1]) | Site3(FPVIe[S17_CH1]) | Site4(FPVIe[S31_CH1]),Kelvin,ChargeRelease,[],{}
48F/S (PIN48_VD18),"{'F': '48F', 'S': '48S'}",PIN48_VD18,FPVIe,Site1(FPVIe[S2_CH0]) | Site2(FPVIe[S16_CH0]) | Site3(FPVIe[S18_CH0]) | Site4(FPVIe[S32_CH0]),Kelvin,ChargeRelease,[],{}
49F/S (Thermal_pad_GND_Thermal),"{'F': '49F', 'S': '49S'}",Thermal_pad_GND_Thermal,FPVIe,Site1(FPVIe[S2_CH1]) | Site2(FPVIe[S16_CH1]) | Site3(FPVIe[S18_CH1]) | Site4(FPVIe[S32_CH1]),Kelvin,ChargeRelease,[],{}
